"id","campaignid","sample","family","genus","species","length","range","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",140.24283,3008.95576,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",122.12191,1340.73046,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",133.5537,1448.23706,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",106.07687,1499.99179,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",111.26964,1552.74324,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Labridae","Pseudolabrus","biserialis",58.77576,1687.43157,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",35.36687,1965.19586,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",50.53415,1923.90715,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",30.23473,1961.73642,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",55.18909,2102.44167,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Pomacentridae","Chromis","klunzingeri",63.91272,1803.78539,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
