"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","broad.consolidated","broad.macroalgae","broad.seagrasses","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"FH110",-33.80868897,114.8213721,20201012,15:06:00,"C.FH.13","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH111",-33.98618897,114.8788721,20201013,12:28:00,"C.FH.24","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH113",-33.72368897,114.7963721,20201012,12:41:00,"C.FH.7","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH12",-33.91868897,114.8963721,20201029,12:46:00,"C.FH.21","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH14",-33.76618897,114.8713721,20201017,11:24:00,"C.FH.10","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH15",-33.68868897,114.8063721,20201012,10:29:00,"C.FH.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH16",-33.90118897,114.8563721,20201013,08:02:00,"C.FH.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH17",-33.83368897,114.8763721,20201012,15:35:00,"C.FH.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH18",-33.79118897,114.8213721,20201012,13:19:00,"C.FH.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH2",-33.91868897,114.8913721,20201029,12:43:00,"C.FH.21","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH20",-33.78618897,114.8738721,20201017,11:40:00,"C.FH.11","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH21",-33.79368897,114.8088721,20201012,13:26:00,"C.FH.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH23",-33.94618897,114.8288721,20201013,09:51:00,"C.FH.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH24",-33.66868897,114.8438721,20201012,07:55:00,"C.FH.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH25",-33.87868897,114.8163721,20201013,07:34:00,"C.FH.16","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH26",-33.81118897,114.8288721,20201012,15:10:00,"C.FH.13","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH27",-33.83618897,114.8713721,20201012,15:39:00,"C.FH.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH28",-33.76368897,114.9338721,20201017,09:24:00,"C.FH.9","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH30",-33.75118897,114.8888721,20201017,11:12:00,"C.FH.8","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH31",-33.67368897,114.8238721,20201012,08:27:00,"C.FH.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH32",-33.69618897,114.9463721,20201017,08:50:00,"C.FH.5","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH33",-33.70868897,114.8263721,20201012,10:54:00,"C.FH.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH34",-33.78618897,114.8838721,20201017,11:51:00,"C.FH.11","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH35",-33.88368897,114.9313721,20201029,15:09:00,"C.FH.17","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH37",-33.71118897,114.8138721,20201012,11:03:00,"C.FH.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH39",-33.90368897,114.9313721,20201029,14:44:00,"C.FH.18","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH40",-33.92368897,114.8888721,20201029,12:40:00,"C.FH.21","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH41",-33.67118897,114.8388721,20201012,08:01:00,"C.FH.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH42",-33.88118897,114.8113721,20201013,07:38:00,"C.FH.16","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH44",-33.77118897,114.8638721,20201017,11:28:00,"C.FH.10","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH45",-33.69368897,114.7988721,20201012,10:39:00,"C.FH.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH46",-33.76618897,114.9288721,20201017,09:28:00,"C.FH.9","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH47",-33.90618897,114.8488721,20201013,08:09:00,"C.FH.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH48",-33.79618897,114.8138721,20201012,13:23:00,"C.FH.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH49",-33.92118897,114.9163721,20201029,13:00:00,"C.FH.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH5",-33.69368897,114.9413721,20201017,08:46:00,"C.FH.5","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH50",-33.68118897,114.9313721,20201017,06:51:00,"C.FH.3","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH51",-33.90618897,114.8538721,20201013,08:06:00,"C.FH.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH52",-33.99118897,114.8888721,20201013,12:36:00,"C.FH.24","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH54",-33.76618897,114.9388721,20201017,09:20:00,"C.FH.9","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH55",-33.92368897,114.9088721,20201029,12:52:00,"C.FH.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH56",-33.83118897,114.8663721,20201012,15:31:00,"C.FH.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH57",-33.78868897,114.8113721,20201012,13:12:00,"C.FH.12","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH58",-33.66368897,114.8413721,20201012,07:47:00,"C.FH.1","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
