Dot Point Measurements

Generated: Wednesday 08 May 2024 13:20:55

Filename	Frame	Time (mins)	Image row	Image col	test										campaignid	relief_annotated	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		49.0
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.4
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									45.2
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.8
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		15.1
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		44.5
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									59.1
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									41.2
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		40.9
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		58.5
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									92.5
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									82.2
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		82.1
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		92.1
102_1_01_L1207_MAH00040.MP4_0046350.jpg	      0		612	1759											2024_Albany_stereo-BRUVs	yes									85.1
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									100.0
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									90.6
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		90.4
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		99.6
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									65.0
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									49.3
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		49.0
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.3
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									45.3
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.9
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		15.1
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		44.4
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									59.0
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									41.1
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		40.7
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		58.3
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									92.3
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									82.0
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		81.8
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		91.8
103_1_01_L1231_MAH00448.MP4_0036881.jpg	      0		626	1786											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		87.9
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									96.9
104_1_01_L1207_MAH00040.MP4_0064869.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									86.5
