"sample","latitude","longitude","date","time","site","location","successful.count"
"IO379",-34.08368897,114.6813721,20201123,06:58:00,"C.IO.14","South-west","Yes"
"IO4",-34.09118897,114.7813721,20201015,12:17:00,"C.IO.43","South-west","Yes"
"IO40",-34.10368897,114.7138721,20201022,10:17:00,"C.IO.55","South-west","Yes"
"IO46",-34.06868897,114.7113721,20201023,06:44:00,"C.IO.34","South-west","Yes"
"IO47",-34.06368897,114.7113721,20201023,06:53:00,"C.IO.34","South-west","Yes"
"IO49",-34.06118897,114.7063721,20201023,06:59:00,"C.IO.34","South-west","Yes"
"IO5",-34.08868897,114.7763721,20201015,12:12:00,"C.IO.43","South-west","Yes"
"IO58",-34.13618897,114.7738721,20201022,07:21:00,"C.IO.69","South-west","Yes"
"IO59",-34.14118897,114.7663721,20201022,07:33:00,"C.IO.69","South-west","Yes"
"IO62",-34.13368897,114.7663721,20201022,07:45:00,"C.IO.69","South-west","Yes"
"IO64",-34.01368897,114.8963721,20201019,11:26:00,"C.IO.47","South-west","Yes"
"IO65",-34.01118897,114.8888721,20201019,11:20:00,"C.IO.53","South-west","Yes"
"IO66",-34.01618897,114.8813721,20201019,09:36:00,"C.IO.19","South-west","Yes"
"IO71",-34.00368897,114.6988721,20201123,12:31:00,"C.IO.41","South-west","Yes"
"IO72",-34.03618897,114.8463721,20201019,09:05:00,"C.IO.60","South-west","Yes"
"IO73",-34.02868897,114.8588721,20201019,09:22:00,"C.IO.60","South-west","Yes"
"IO74",-34.02868897,114.8513721,20201019,09:14:00,"C.IO.60","South-west","Yes"
"IO75",-34.03368897,114.8538721,20201019,09:10:00,"C.IO.60","South-west","Yes"
"IO80",-34.09368897,114.8888721,20201016,10:30:00,"C.IO.52","South-west","Yes"
"IO81",-34.09868897,114.8913721,20201016,10:20:00,"C.IO.52","South-west","Yes"
"IO91",-34.09368897,114.8938721,20201016,10:25:00,"C.IO.52","South-west","Yes"
"IO92",-34.09868897,114.8863721,20201016,10:16:00,"C.IO.52","South-west","Yes"
"IO95",-34.12618897,114.7338721,20201022,08:21:00,"C.IO.68","South-west","Yes"
"IO96",-34.13618897,114.7363721,20201022,08:06:00,"C.IO.68","South-west","Yes"
"IO98",-34.13368897,114.7313721,20201022,08:13:00,"C.IO.68","South-west","Yes"
"IOC04",-34.08755,114.749265,20201022,13:16:00,"C.IO.12","South-west","Yes"
"IOC05",-34.05394,114.899843,20201029,10:46:00,"C.IO.3","South-west","Yes"
"IO215",-34.06868897,114.9263721,20201016,12:34:00,"C.IO.2","South-west","Yes"
"IOCP11-1",-33.992845,114.696642,20201123,12:39:00,"C.IO.41","South-west","Yes"
"IOCP11-2",-33.974332,114.692773,20201123,12:47:00,"C.IO.41","South-west","Yes"
"IOCP2311",-34.01858,114.601465,20201123,10:19:00,"C.IO.46","South-west","Yes"
"IOREDO344",-34.0844,114.6744,20201123,07:12:00,"C.IO.14","South-west","Yes"
