"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"distance_from_access+macroalgae...89","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",93.4091811245862,104.456648930451,0.05626,NA,3.8,0,6.547,8.13,0.013,0.007,1,0,1,0,0,0,0,0.89
"depth_m+macroalgae+seagrasses...90","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",93.4998222186041,107.481497202056,0.08234,NA,5.56,0,6.637,11.155,0.012,0.002,0,0,1,1,1,0,0,0.902
"macroalgae+mean_relief...91","Sublegal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",93.556817985988,106.000663518235,0.07166,NA,4.47,0,6.694,9.674,0.012,0.003,0,0,1,0,0,1,0,0.914
"distance_from_access+sd_relief...92","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",93.5945699388995,103.058559817902,0.09997,NA,3,0,6.732,6.732,0.012,0.014,1,0,0,0,0,0,1,0.926
"depth_m+sd_relief...93","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",93.7961199738865,104.714268543546,0.11313,NA,3.65,0,6.934,8.388,0.011,0.006,0,0,0,0,1,0,1,0.937
"null...94","Sublegal KGW","1",93.901197533858,99.812766494799,0,NA,1,0,7.039,3.487,0.01,0.073,0,0,0,0,0,0,0,0.947
"depth_m+macroalgae...95","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",94.2702187889656,106.550311081123,0.06101,NA,4.34,0,7.408,10.224,0.008,0.003,0,0,1,0,1,0,0,0.955
"distance_from_access+mean_relief+sd_relief...96","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",94.6162503576831,106.844477977873,0.08807,NA,4.47,0,7.754,10.518,0.007,0.002,1,0,0,0,0,1,1,0.962
"depth_m+sd_relief+seagrasses...97","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",94.9498888866663,107.503827144228,0.11418,NA,4.73,0,8.087,11.178,0.006,0.002,0,0,0,1,1,0,1,0.968
"seagrasses...98","Sublegal KGW","s(seagrasses, k = 3, bs = ""cr"")",95.3781491844533,103.107401085883,0.01013,NA,2,0,8.516,6.781,0.005,0.014,0,0,0,1,0,0,0,0.973
"mean_relief...99","Sublegal KGW","s(mean_relief, k = 3, bs = ""cr"")",95.8567566918903,105.171830145046,0.03087,NA,2.7,0,8.994,8.846,0.004,0.005,0,0,0,0,0,1,0,0.977
"distance_from_access...100","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"")",96.202760289983,103.932615485265,0.00043,NA,2,0,9.34,7.606,0.003,0.009,1,0,0,0,0,0,0,0.98
"distance_from_access+macroalgae+mean_relief...101","Sublegal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",96.3209433514509,110.239152120442,0.07209,NA,5.48,0,9.459,13.913,0.003,0,1,0,1,0,0,1,0,0.983
"depth_m+macroalgae+mean_relief...102","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",96.375946703733,111.560035350209,0.08363,NA,6.2,0,9.514,15.234,0.003,0,0,0,1,0,1,1,0,0.986
"depth_m+distance_from_access+sd_relief...103","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",96.4476752797369,108.927050441264,0.11307,NA,4.65,0,9.585,12.601,0.003,0.001,1,0,0,0,1,0,1,0.989
"depth_m...104","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"")",96.4569560505,105.760957951186,0.01859,NA,2.69,0,9.595,9.435,0.003,0.004,0,0,0,0,1,0,0,0.992
"depth_m+seagrasses...105","Sublegal KGW","s(depth_m, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",96.7722405238304,107.782884486335,0.03529,NA,3.75,0,9.91,11.457,0.002,0.001,0,0,0,1,1,0,0,0.994
