"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"sd_relief+seagrasses...21","Immature KGW","s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",99.6480401019153,109.129534911487,0.06828,NA,3.01,0,5.156,5.173,0.014,0.017,0,0,0,1,0,0,1,0.897
"distance_from_access+sd_relief...22","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",100.088751647815,109.55243938933,0.07611,NA,3,0,5.596,5.596,0.012,0.014,1,0,0,0,0,0,1,0.909
"seagrasses...23","Immature KGW","s(seagrasses, k = 3, bs = ""cr"")",100.393857297543,108.12321071711,0.00854,NA,2,0,5.901,4.167,0.01,0.028,0,0,0,1,0,0,0,0.919
"depth_m...24","Immature KGW","s(depth_m, k = 3, bs = ""cr"")",100.719848432995,110.065834200236,0.02418,NA,2.74,0,6.227,6.109,0.008,0.01,0,0,0,0,1,0,0,0.927
"distance_from_access...25","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"")",100.786155560671,108.515599102112,0.00421,NA,2,0,6.294,4.559,0.008,0.023,1,0,0,0,0,0,0,0.935
"distance_from_access+mean_relief+sd_relief...26","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",100.827349007042,113.128113405831,0.08137,NA,4.51,0,6.335,9.172,0.008,0.002,1,0,0,0,0,1,1,0.943
"depth_m+sd_relief+seagrasses...27","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",100.829389508291,113.391081833497,0.08083,NA,4.74,0,6.337,9.435,0.008,0.002,0,0,0,1,1,0,1,0.951
"mean_relief...28","Immature KGW","s(mean_relief, k = 3, bs = ""cr"")",100.906843919986,110.139490014147,0.02706,NA,2.63,0,6.414,6.183,0.008,0.01,0,0,0,0,0,1,0,0.959
"depth_m+seagrasses...29","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",100.991623717296,111.985018444302,0.03636,NA,3.73,0,6.499,8.029,0.007,0.004,0,0,0,1,1,0,0,0.966
"depth_m+macroalgae+mean_relief...30","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",101.301775625865,116.494498538975,0.09741,NA,6.23,0,6.809,12.538,0.006,0,0,0,1,0,1,1,0,0.972
"depth_m+mean_relief...31","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",101.810657350311,114.229826140719,0.05116,NA,4.44,0,7.318,10.273,0.005,0.001,0,0,0,0,1,1,0,0.977
"distance_from_access+macroalgae+mean_relief...32","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",102.066051576488,115.91482471001,0.07527,NA,5.4,0,7.574,11.958,0.004,0.001,1,0,1,0,0,1,0,0.981
"depth_m+distance_from_access+sd_relief...33","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",102.128648463604,114.674926483084,0.09012,NA,4.72,0,7.636,10.718,0.004,0.001,1,0,0,0,1,0,1,0.985
"depth_m+distance_from_access+macroalgae...34","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",102.255713761363,116.085389530754,0.06792,NA,5.39,0,7.763,12.129,0.004,0.001,1,0,1,0,1,0,0,0.989
"depth_m+distance_from_access...35","Immature KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"")",103.045736353663,114.042531030112,0.02773,NA,3.73,0,8.553,10.086,0.003,0.001,1,0,0,0,1,0,0,0.992
"distance_from_access+mean_relief...36","Immature KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",103.122450019804,113.999492410446,0.03199,NA,3.62,0,8.63,10.043,0.003,0.001,1,0,0,0,0,1,0,0.995
"null...37","Legal KGW","1",71.0889533472031,77.0005223081441,0,NA,1,0,0,0,0.072,0.358,0,0,0,0,0,0,0,0.072
"unconsolidated...38","Legal KGW","s(unconsolidated, k = 3, bs = ""cr"")",71.1440411558596,80.1655973456817,0.03843,NA,2.49,0,0.055,3.165,0.07,0.074,0,1,0,0,0,0,0,0.142
"macroalgae...39","Legal KGW","s(macroalgae, k = 3, bs = ""cr"")",71.2083991565031,80.5247891598228,0.02862,NA,2.71,0,0.119,3.524,0.068,0.061,0,0,1,0,0,0,0,0.21
"macroalgae+sd_relief...40","Legal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",71.7220150386612,81.1868052803863,0.03609,NA,3,0,0.633,4.186,0.053,0.044,0,0,1,0,0,0,1,0.263
"sd_relief+unconsolidated...41","Legal KGW","s(sd_relief, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",71.7250487542839,81.1887219696952,0.04051,NA,3,0,0.636,4.188,0.053,0.044,0,1,0,0,0,0,1,0.316
"depth_m...42","Legal KGW","s(depth_m, k = 3, bs = ""cr"")",71.8249999780748,81.2006758095913,0.02003,NA,2.77,0,0.736,4.2,0.05,0.044,0,0,0,0,1,0,0,0.366
"distance_from_access+unconsolidated...43","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(unconsolidated, k = 3, bs = ""cr"")",72.0780728540999,82.9334325604889,0.05549,NA,3.6,0,0.989,5.933,0.044,0.018,1,1,0,0,0,0,0,0.41
